scale,strategy,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
medium,local,total_replanning_runtime,10,0.22301836000406178,0.1346045414675378,0.17126085001291355,0.1329809000017121,0.5694966999944882,0.1395896008538212,0.30644711915430234
medium,local,mean_replanning_runtime,10,0.00892073440016241,0.0053841816587015265,0.0068504340005164505,0.0053192360000684,0.0227798679997795,0.005583584034152777,0.012257884766172043
medium,local,max_replanning_runtime,10,0.04521760999996327,0.02038407667140287,0.03553079999983305,0.0301457999958074,0.0904809000057866,0.032583428384860474,0.05785179161506607
medium,local,total_algorithm_runtime,10,1.004616840005474,0.1415286653578806,0.9790177499999118,0.8952829000190832,1.3753512999901432,0.9168964644054782,1.0923372156054698
medium,local,runner_wall_runtime,10,1.0127878199993574,0.1417507937484153,0.9870032499966328,0.902474300004542,1.3837332000039169,0.9249297677965346,1.1006458722021804
medium,local,assignment_changes,10,16.4,5.719362823873925,16.0,5.0,28.0,12.855102195486525,19.944897804513474
medium,local,successor_edge_changes,10,23.9,12.818822965554295,23.0,10.0,53.0,15.954811211249357,31.84518878875064
medium,local,total_travel_time,10,364.549444351832,15.6394034132648,363.66204623156244,344.2922834000461,392.0615792755881,354.85604168953483,374.24284701412915
medium,local,active_uav_count,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
large,no_reorder,weighted_delay,10,13317.041952187254,1356.3204007503248,13104.90256108166,11416.649170814324,15331.669579933056,12476.385858335872,14157.698046038635
large,no_reorder,weighted_mean_delay,10,24.347262919751614,1.6731234265222685,23.546050732771562,22.38558660943985,26.85055968464633,23.31025027621005,25.38427556329318
large,no_reorder,high_priority_mean_delay,10,18.409100899055524,1.8743730523107445,18.02820196432321,16.315745611665164,22.82227865667957,17.24735244514732,19.570849352963727
large,no_reorder,mean_delay,10,33.27934747891655,2.3991949658878005,33.0917286907502,29.80684573754365,37.412749762805255,31.792311032885525,34.766383924947576
large,no_reorder,makespan,10,136.71321914664838,6.583920257456644,134.8802096162388,126.57122729744366,148.2140962069401,132.6324630931373,140.79397520015948
large,no_reorder,initial_planning_runtime,10,8.920770099998482,0.6573021743415046,8.584640499997477,8.342448899995361,9.936239800001204,8.513369991546034,9.32817020845093
large,no_reorder,total_replanning_runtime,10,0.4391025800105126,0.10658209819748214,0.4535397000145167,0.2732198000012431,0.6019965000014054,0.3730423111421737,0.5051628488788515
large,no_reorder,mean_replanning_runtime,10,0.0087820516002102,0.00213164196394965,0.009070794000290299,0.0054643960000248,0.0120399300000281,0.007460846222843417,0.010103256977576984
large,no_reorder,max_replanning_runtime,10,0.019104980000702154,0.002632251432720904,0.018390499997622052,0.016581000003498,0.0242336000010254,0.017473493659980806,0.020736466341423503
large,no_reorder,total_algorithm_runtime,10,9.359872680008994,0.7329360101954722,8.986411600020801,8.648989399996935,10.538236300002607,8.905594234419674,9.814151125598315
large,no_reorder,runner_wall_runtime,10,9.385649469999771,0.7362941651692988,9.012366400002065,8.669089200004237,10.57002829999692,8.929289618393641,9.842009321605902
large,no_reorder,assignment_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,no_reorder,successor_edge_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,no_reorder,total_travel_time,10,615.4646799785829,17.007253802968503,618.3240099808568,592.2412589781351,648.2534113159463,604.9234748612425,626.0058850959233
large,no_reorder,active_uav_count,10,8.0,0.0,8.0,8.0,8.0,8.0,8.0
large,full,weighted_delay,10,12726.384961886954,1183.5768246544928,12604.369245994743,10803.171241544853,14364.955599014876,11992.79644575416,13459.973478019747
large,full,weighted_mean_delay,10,23.273268601369324,1.3970426279299426,22.799844232248553,21.18268870891148,25.37616716872897,22.40737260961859,24.139164593120057
large,full,high_priority_mean_delay,10,17.72155890496883,1.591005258927529,17.330916571075164,15.50201968680162,21.07139088764825,16.735443629015514,18.707674180922147
